,Shape,Price,Carat,Cut,Color,Clarity,Polish,Symmetry,Depth,Table,L/W
0,Round,3643049,19.22,Ideal,D,FL,Excellent,Excellent,62.2,56,1
1,Round,1999429,14.36,Ideal,D,VVS1,Excellent,Excellent,62.4,58,1.01
2,Round,1814798,15.51,Ideal,E,FL,Excellent,Excellent,60.6,59,1.01
3,Round,1719899,10.28,Ideal,D,FL,Excellent,Excellent,59.5,58,1.01
4,Cushion,1692728,23.97,Very Good,H,VS1,Excellent,Very Good,68.5,62,1.13
5,Heart,1674719,10.82,Very Good,D,FL,Excellent,Excellent,54.8,62,0.89
6,Pear,1582440,11.71,Very Good,D,FL,Excellent,Excellent,64.3,61,1.46
7,Heart,1578871,10.2,Very Good,D,FL,Excellent,Excellent,55.1,57,0.85
8,Pear,1473559,10.43,Very Good,D,FL,Excellent,Excellent,63.8,55,1.74
9,Round,1456157,21.7,Ideal,H,VS2,Excellent,Excellent,61.5,58,1.01
10,Pear,1348000,10.01,Very Good,D,VVS1,Excellent,Excellent,61.6,59,1.8
11,Round,1314165,9.2,Ideal,D,FL,Excellent,Excellent,61.2,57,1.01
12,Round,1234989,8.58,Ideal,D,FL,Excellent,Excellent,59.9,60,1.01
13,Round,1223393,10.15,Ideal,D,VVS1,Excellent,Excellent,60.7,55,1.01
14,Oval,1203245,11.28,Very Good,F,VVS2,Very Good,Very Good,60.2,64,1.59
15,Round,1041516,10.03,Very Good,F,IF,Excellent,Very Good,59.2,58,1
16,Pear,998728,9.56,Very Good,D,FL,Excellent,Excellent,61.8,55,1.55
17,Pear,966904,10.69,Very Good,F,IF,Excellent,Excellent,60.9,63,1.61
18,Oval,958927,10.1,Very Good,E,VS1,Very Good,Very Good,60.4,60,1.43
19,Round,953695,10.22,Ideal,F,VVS2,Excellent,Excellent,59.5,59,1
20,Round,921871,8.77,Ideal,E,IF,Excellent,Excellent,58.4,62,1
21,Round,905066,7.2,Ideal,D,FL,Excellent,Excellent,61.9,56,1.01
22,Pear,848535,7.6,Very Good,D,IF,Excellent,Excellent,58.8,58,1.47
23,Heart,838317,10.06,Very Good,D,VS2,Excellent,Excellent,58.8,58,1.16
24,Round,832001,7.31,Ideal,D,VVS1,Excellent,Excellent,62.1,57,1
25,Pear,824663,10.06,Good,E,VS2,Excellent,Excellent,67.8,63,1.59
26,Round,823988,17.1,Ideal,I,VS1,Excellent,Excellent,62.8,55,1
27,Round,810874,14.17,Ideal,D,SI1,Excellent,Excellent,61.4,57,1
28,Oval,806383,8.45,Very Good,D,VVS2,Excellent,Excellent,58.1,58,1.82
29,Round,798020,9.68,Ideal,F,IF,Excellent,Excellent,61.4,57,1.01
30,Pear,767798,7.34,Good,D,IF,Excellent,Excellent,57.6,61,1.62
31,Round,741623,6.73,Ideal,D,FL,Excellent,Excellent,61.9,57,1.01
32,Emerald,736380,10.5,Very Good,E,VS2,Excellent,Very Good,63.5,69,1.43
33,Round,733425,7.41,Ideal,D,VVS1,Excellent,Excellent,61.9,58,1
34,Round,710021,9.04,Ideal,F,VVS1,Excellent,Excellent,62.9,56,1
35,Round,685356,20.23,Ideal,J,VS2,Excellent,Excellent,62.5,57,1
36,Round,680267,6.12,Ideal,D,FL,Excellent,Excellent,61.9,57,1.01
37,Round,674642,13.17,Ideal,H,VS2,Excellent,Excellent,57.9,60,1
38,Round,671260,12.26,Ideal,H,VVS2,Excellent,Excellent,61.8,57,1
39,Round,666929,6.0,Ideal,D,FL,Excellent,Excellent,61.1,57,1.01
40,Round,660358,6.03,Ideal,D,FL,Excellent,Excellent,61.0,58,1.01
41,Round,654264,5.76,Ideal,D,FL,Excellent,Excellent,61.8,58,1.01
42,Pear,644404,15.01,Very Good,E,SI2,Very Good,Very Good,61.7,56,1.5
43,Emerald,619618,7.25,Very Good,D,VS1,Excellent,Very Good,64.4,65,1.43
44,Round,612828,5.62,Ideal,D,FL,Excellent,Excellent,62.3,57,1
45,Cushion,597742,9.52,Very Good,F,VS1,Excellent,Excellent,63.8,64,1
46,Cushion,589761,10.64,Good,F,VS2,Excellent,Excellent,65.6,69,1.04
47,Pear,582141,8.52,Very Good,F,IF,Excellent,Excellent,63.6,58,1.56
48,Round,578632,10.18,Ideal,I,VVS2,Excellent,Excellent,59.4,59,1
49,Round,566788,7.27,Ideal,E,VVS2,Excellent,Excellent,59.2,59,1
50,Emerald,561000,8.34,Very Good,F,VS1,Excellent,Excellent,63.2,68,1.29
51,Emerald,560760,7.01,Very Good,E,VVS2,Excellent,Very Good,66.5,66,1.46
52,Oval,541724,7.18,Very Good,D,VVS1,Excellent,Excellent,64.3,56,1.48
53,Emerald,496107,14.38,Very Good,J,VS2,Very Good,Very Good,61.4,68,1.21
54,Pear,487359,10.05,Good,I,VVS1,Very Good,Good,59.1,66,1.57
55,Radiant,483093,13.31,Very Good,I,VS2,Very Good,Good,63.9,68,1.22
56,Round,481593,12.2,Ideal,I,VS2,Excellent,Excellent,58.6,62,1
57,Pear,474013,5.04,Good,D,IF,Excellent,Excellent,54.8,62,1.64
58,Cushion,469218,10.22,Very Good,E,SI1,Very Good,Very Good,63.6,63,1.21
59,Princess,462741,9.4,Very Good,G,VS1,Very Good,Very Good,72.3,72,1.01
60,Round,454449,7.28,Ideal,E,VS2,Excellent,Excellent,62.2,58,1
61,Cushion,454150,10.01,Very Good,G,VS2,Excellent,Very Good,67.5,61,1.03
62,Radiant,451615,10.06,Very Good,H,VS2,Very Good,Good,71.4,69,1.24
63,Princess,449884,10.05,Very Good,G,VS2,Excellent,Excellent,68.5,74,1.04
64,Emerald,445332,10.01,Very Good,H,VS1,Very Good,Very Good,68.7,62,1.51
65,Round,443000,10.23,Ideal,G,VS1,Excellent,Excellent,59.4,60,1
66,Pear,440301,10.05,Very Good,H,VS2,Very Good,Very Good,62.8,56,1.56
67,Cushion,436392,10.03,Very Good,G,VS2,Very Good,Very Good,66.8,56,1.15
68,Round,431831,10.05,Ideal,I,VVS1,Excellent,Excellent,59.8,59,1
69,Heart,425106,5.58,Very Good,D,FL,Excellent,Excellent,56.1,58,0.89
70,Oval,423726,5.15,Good,D,IF,Excellent,Excellent,61.9,65,1.42
